corpus_id	corpus	pattern	count	total	proportion	extraction_status
aigent-gpt5	AI-GenT GPT-5	VOS	7	1920	0.003646	stark_direct_exact
aigent-gpt5	AI-GenT GPT-5	OSV	8	1920	0.004167	stark_direct_exact
aigent-gpt5	AI-GenT GPT-5	OVS	92	1920	0.047917	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	SVO	346	352	0.982955	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	SOV	3	352	0.008523	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	VSO	1	352	0.002841	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	VOS	0	352	0.000000	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	OSV	0	352	0.000000	stark_direct_exact
aigent-gams27b	AI-GenT GaMS-27B	OVS	2	352	0.005682	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	SVO	582	608	0.957237	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	SOV	2	608	0.003289	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	VSO	8	608	0.013158	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	VOS	0	608	0.000000	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	OSV	2	608	0.003289	stark_direct_exact
aigent-gemma2-27b	AI-GenT gemma-2-27b	OVS	14	608	0.023026	stark_direct_exact
janes-news	JANES-News	SVO	41928	57631	0.727525	verified_reference_stark_direct_exact
janes-news	JANES-News	SOV	3348	57631	0.058094	verified_reference_stark_direct_exact
janes-news	JANES-News	VSO	3077	57631	0.053391	verified_reference_stark_direct_exact
