corpus_id	corpus	role	entity_status	pattern	count	total	proportion	ner_evidence	extraction_status
suk-literary	SUK literary	subject	common	OSV	6	168	0.035714	manual_ner	direct_from_prepared
suk-literary	SUK literary	subject	common	OVS	31	168	0.184524	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	SVO	14	20	0.700000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	SOV	1	20	0.050000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	VSO	0	20	0.000000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	VOS	0	20	0.000000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	OSV	2	20	0.100000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	entity	OVS	3	20	0.150000	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	SVO	194	253	0.766798	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	SOV	12	253	0.047431	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	VSO	10	253	0.039526	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	VOS	4	253	0.015810	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	OSV	4	253	0.015810	manual_ner	direct_from_prepared
suk-literary	SUK literary	object	common	OVS	29	253	0.114625	manual_ner	direct_from_prepared
suk-publicistic	SUK publicistic/general	subject	entity	SVO	612	883	0.693092	manual_ner	direct_from_prepared
suk-publicistic	SUK publicistic/general	subject	entity	SOV	67	883	0.075878	manual_ner	direct_from_prepared
suk-publicistic	SUK publicistic/general	subject	entity	VSO	30	883	0.033975	manual_ner	direct_from_prepared
suk-publicistic	SUK publicistic/general	subject	entity	VOS	12	883	0.013590	manual_ner	direct_from_prepared
suk-publicistic	SUK publicistic/general	subject	entity	OSV	24	883	0.027180	manual_ner	direct_from_prepared
